measurement_name	peak_name	t	r	signal	index_t	index_r
temp_BD18_1511121727_ims.csv	p1	0.50426	-1	16.9924	745	0
temp_BD18_1511121727_ims.csv	p2	0.57863	-2	55.5283	873	47
temp_BD18_1511121727_ims.csv	p4	0.47812	-1	283.122	700	0
temp_BD18_1511121727_ims.csv	p6	0.68786	-2	41.0961	1061	60
temp_BD18_1511121727_ims.csv	p7	0.48509	-1	131.181	712	0
temp_BD18_1511121727_ims.csv	p8	0.61291	-1	15.5635	932	154
temp_BD18_1511121727_ims.csv	p9	0.44732	-1	105.414	647	27
temp_BD18_1511121727_ims.csv	p11	0.69251	4	35.8551	1069	54
temp_BD18_1511121727_ims.csv	p15	0.64371	-2	382.627	985	60
temp_BD18_1511121727_ims.csv	p17	0.64952	4	262.306	995	54
temp_BD18_1511121727_ims.csv	p22	0.71517	-2	16.2769	1108	9
temp_BD18_1511121727_ims.csv	p28	0.45255	0	388.956	656	10
temp_BD18_1511121727_ims.csv	p31	1.07017	-3	11.337	1719	195
temp_BD18_1511121727_ims.csv	p33	0.65997	0	40.5316	1013	71
temp_BD18_1511121727_ims.csv	p47	0.9621	3	36.3889	1533	196
temp_BD18_1511121727_ims.csv	p51	0.54958	2	378.511	823	15
temp_BD18_1511121727_ims.csv	p55	0.91852	-1	11.174	1458	226
temp_BD18_1511121727_ims.csv	p60	0.99696	3	27.5482	1593	196
temp_BD18_1511121727_ims.csv	p64	0.5368	3	59.705	801	16
temp_BD18_1511121727_ims.csv	p65	1.1428	3	20.4882	1844	196
temp_BD18_1511121727_ims.csv	p66	0.63731	0	33.988	974	39
temp_BD18_1511121727_ims.csv	p67	1.01904	3	21.5227	1631	196
temp_BD18_1511121727_ims.csv	p68	0.58502	0	99.8896	884	95
temp_BD18_1511121727_ims.csv	p73	0.57398	-2	31.408	865	96
temp_BD18_1511121727_ims.csv	p74	0.87553	-2	109.562	1384	224
temp_BD18_1511121727_ims.csv	p79	0.60013	0	302.601	910	95
temp_BD18_1511121727_ims.csv	p82	1.02717	3	19.6618	1645	196
temp_BD18_1511121727_ims.csv	p89	0.89935	-2	16.7418	1425	224
temp_BD18_1511121727_ims.csv	p90	1.03821	0	16.7193	1664	197
temp_BD18_1511121727_ims.csv	p92	0.49671	0	239.085	732	14
temp_BD18_1511121727_ims.csv	p98	0.64371	2	217.362	985	225
temp_BD18_1511121727_ims.csv	p99	1.04693	3	15.9939	1679	196
temp_BD18_1511121727_ims.csv	p102	0.83486	-2	10.7594	1314	59
temp_BD18_1511121727_ims.csv	p104	0.71866	4	18.1623	1114	54
temp_BD18_1511121727_ims.csv	p106	1.0539	0	14.3299	1691	197
temp_BD18_1511121727_ims.csv	p108	0.95687	3	38.5491	1524	196
temp_BD18_1511121727_ims.csv	p111	1.07424	0	12.1437	1726	197
temp_BD18_1511121727_ims.csv	p112	1.08353	0	10.8711	1742	197
temp_BD18_1511121727_ims.csv	p114	0.96791	3	34.834	1543	196
temp_BD18_1511121727_ims.csv	p117	1.06087	3	13.7929	1703	196
temp_BD18_1511121727_ims.csv	p118	0.81627	-2	17.4615	1282	59
temp_BD18_1511121727_ims.csv	p121	0.9528	3	38.7103	1517	196
temp_BD18_1511121727_ims.csv	p123	0.85113	0	151.609	1342	55
temp_BD18_1511121727_ims.csv	p126	0.97837	3	38.0272	1561	196
temp_BD18_1511121727_ims.csv	p132	0.74015	-1	13.6518	1151	203
temp_BD18_1511121727_ims.csv	p136	0.92782	-2	123.102	1474	199
temp_BD18_1511121727_ims.csv	p138	0.60652	-1	166.251	921	203
temp_BD18_1511121727_ims.csv	p144	0.91388	2	10.4006	1450	225
temp_BD18_1511121727_ims.csv	p151	0.49206	-1	51.4523	724	297
