measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1511110750_ims.csv	p1	0.47844	0	129.841	828	0
BD18_1511110750_ims.csv	p2	0.58801	3.448	98.7496	1016	7
BD18_1511110750_ims.csv	p3	0.80016	29.36	12.1356	1380	59
BD18_1511110750_ims.csv	p4	0.45338	4.93	34.4534	785	10
BD18_1511110750_ims.csv	p5	0.87127	28.845	17.1895	1502	58
BD18_1511110750_ims.csv	p6	0.77685	28.845	14.8649	1340	58
BD18_1511110750_ims.csv	p7	0.53789	7.457	42.0159	930	15
BD18_1511110750_ims.csv	p9	0.82697	28.845	18.9118	1426	58
BD18_1511110750_ims.csv	p10	0.69059	3.885	13.1863	1192	8
BD18_1511110750_ims.csv	p11	0.80657	29.36	15.3267	1391	59
BD18_1511110750_ims.csv	p12	0.77219	29.89	13.6488	1332	60
BD18_1511110750_ims.csv	p13	0.5816	7.457	10.5493	1005	15
BD18_1511110750_ims.csv	p14	0.78443	29.89	16.1913	1353	60
BD18_1511110750_ims.csv	p15	0.49709	6.412	238.111	860	13
BD18_1511110750_ims.csv	p16	0.54838	7.457	212.034	948	15
BD18_1511110750_ims.csv	p17	1.08575	97.579	17.9266	1870	196
BD18_1511110750_ims.csv	p18	0.79608	29.36	13.3118	1373	59
BD18_1511110750_ims.csv	p19	0.56762	8.877	10.0168	981	18
BD18_1511110750_ims.csv	p20	0.5682	17.909	19.423	982	36
BD18_1511110750_ims.csv	p22	0.81765	29.36	18.4829	1410	59
BD18_1511110750_ims.csv	p23	0.50817	10.374	52.0298	879	21
BD18_1511110750_ims.csv	p24	0.50875	20.374	11.5132	880	41
BD18_1511110750_ims.csv	p25	0.57752	23.354	22.2279	998	47
BD18_1511110750_ims.csv	p26	0.82231	29.36	17.3349	1418	59
BD18_1511110750_ims.csv	p27	0.51341	21.872	20.6416	888	44
BD18_1511110750_ims.csv	p29	0.84737	29.36	426.782	1461	59
BD18_1511110750_ims.csv	p30	0.53614	20.374	25.3335	927	41
BD18_1511110750_ims.csv	p33	0.88467	28.845	10.3672	1525	58
BD18_1511110750_ims.csv	p34	0.71973	28.392	20.098	1242	57
BD18_1511110750_ims.csv	p35	1.14228	97.048	36.9141	1967	195
BD18_1511110750_ims.csv	p37	1.09216	96.596	16.5071	1881	194
BD18_1511110750_ims.csv	p38	0.7617	28.845	21.4334	1314	58
BD18_1511110750_ims.csv	p40	1.11081	97.048	17.9911	1913	195
BD18_1511110750_ims.csv	p41	0.90041	28.845	16.2398	1552	58
BD18_1511110750_ims.csv	p42	1.12596	96.596	16.7866	1939	194
BD18_1511110750_ims.csv	p44	0.91789	29.89	26.7311	1582	60
BD18_1511110750_ims.csv	p46	1.07759	96.596	18.4635	1856	194
BD18_1511110750_ims.csv	p47	0.68651	27.768	17.4203	1185	56
BD18_1511110750_ims.csv	p48	0.96044	97.048	51.1171	1655	195
BD18_1511110750_ims.csv	p50	0.64397	28.392	456.616	1112	57
BD18_1511110750_ims.csv	p51	0.99075	97.048	46.5197	1707	195
BD18_1511110750_ims.csv	p53	0.514	43.259	12.1716	889	87
BD18_1511110750_ims.csv	p54	1.0129	97.048	36.5016	1745	195
BD18_1511110750_ims.csv	p55	0.9482	97.048	50.9302	1634	195
BD18_1511110750_ims.csv	p56	1.09624	97.048	16.412	1888	195
BD18_1511110750_ims.csv	p60	0.97734	97.048	53.2151	1684	195
BD18_1511110750_ims.csv	p61	1.10323	97.048	16.8428	1900	195
BD18_1511110750_ims.csv	p62	0.92605	99.622	121.425	1596	200
BD18_1511110750_ims.csv	p64	1.00066	97.048	41.8206	1724	195
BD18_1511110750_ims.csv	p66	1.04262	97.048	26.9285	1796	195
BD18_1511110750_ims.csv	p67	0.53556	42.822	23.0662	926	86
BD18_1511110750_ims.csv	p70	0.53614	61.745	17.0889	927	124
BD18_1511110750_ims.csv	p72	1.03213	97.048	30.1283	1778	195
BD18_1511110750_ims.csv	p76	0.60667	101.557	122.065	1048	204
BD18_1511110750_ims.csv	p77	1.11489	97.579	19.1403	1920	196
BD18_1511110750_ims.csv	p79	0.88934	116.611	16.3495	1533	234
BD18_1511110750_ims.csv	p84	0.48893	148.903	54.4526	846	299
BD18_1511110750_ims.csv	p85	1.07118	97.579	19.8322	1845	196
BD18_1511110750_ims.csv	p89	0.53614	50.248	20.2955	927	101
BD18_1511110750_ims.csv	p103	0.48893	53.306	31.5507	846	107
BD18_1511110750_ims.csv	p105	0.48893	62.713	35.9789	846	126
BD18_1511110750_ims.csv	p107	0.9552	97.048	51.9657	1646	195
BD18_1511110750_ims.csv	p111	0.48893	84.646	41.6997	846	170
BD18_1511110750_ims.csv	p112	1.05253	97.048	24.405	1813	195
BD18_1511110750_ims.csv	p113	1.0636	97.579	21.5763	1832	196
