measurement_name	peak_name	t	r	signal	index_t	index_r
temp_BD18_1408280841_ims.csv	p2	0.4791	-2	50.8763	709	0
temp_BD18_1408280841_ims.csv	p3	1.12816	0	19.9903	1836	200
temp_BD18_1408280841_ims.csv	p7	0.50271	-2	19.6935	750	0
temp_BD18_1408280841_ims.csv	p9	1.14198	-1	33.1564	1860	197
temp_BD18_1408280841_ims.csv	p10	0.63633	1	15.5495	982	5
temp_BD18_1408280841_ims.csv	p11	0.80334	2	10.0711	1272	56
temp_BD18_1408280841_ims.csv	p13	1.11433	3	20.3195	1812	188
temp_BD18_1408280841_ims.csv	p15	0.94329	1	43.3726	1515	187
temp_BD18_1408280841_ims.csv	p17	0.79701	1	24.7368	1261	7
temp_BD18_1408280841_ims.csv	p20	1.06999	1	23.5469	1735	190
temp_BD18_1408280841_ims.csv	p23	0.95538	1	44.7111	1536	187
temp_BD18_1408280841_ims.csv	p24	0.88454	3	21.0197	1413	57
temp_BD18_1408280841_ims.csv	p25	1.03428	1	33.695	1673	198
temp_BD18_1408280841_ims.csv	p27	0.5891	0	20.6122	900	8
temp_BD18_1408280841_ims.csv	p29	1.05789	1	26.3729	1714	190
temp_BD18_1408280841_ims.csv	p30	0.69104	0	16.499	1077	8
temp_BD18_1408280841_ims.csv	p32	1.0959	2	18.2116	1780	189
temp_BD18_1408280841_ims.csv	p33	0.75381	0	10.5661	1186	8
temp_BD18_1408280841_ims.csv	p35	0.64496	1	180.847	997	63
temp_BD18_1408280841_ims.csv	p36	1.1224	1	20.5232	1826	190
temp_BD18_1408280841_ims.csv	p37	1.09936	1	17.5859	1786	194
temp_BD18_1408280841_ims.csv	p39	0.93465	1	39.5775	1500	194
temp_BD18_1408280841_ims.csv	p42	0.95826	1	43.4595	1541	198
temp_BD18_1408280841_ims.csv	p43	1.10742	1	17.7576	1800	190
temp_BD18_1408280841_ims.csv	p47	1.08669	1	20.3942	1764	194
temp_BD18_1408280841_ims.csv	p48	0.90297	3	12.948	1445	57
temp_BD18_1408280841_ims.csv	p53	0.49753	2	43.529	741	13
temp_BD18_1408280841_ims.csv	p55	0.54821	2	248.307	829	15
temp_BD18_1408280841_ims.csv	p57	0.96172	3	45.2225	1547	188
temp_BD18_1408280841_ims.csv	p60	1.07863	3	20.9427	1750	191
temp_BD18_1408280841_ims.csv	p61	1.05329	2	28.3366	1706	189
temp_BD18_1408280841_ims.csv	p63	0.84653	2	537.482	1347	59
temp_BD18_1408280841_ims.csv	p66	1.01873	3	39.7952	1646	191
temp_BD18_1408280841_ims.csv	p68	0.94041	-1	42.1206	1510	201
temp_BD18_1408280841_ims.csv	p71	1.04638	1	29.0665	1694	190
temp_BD18_1408280841_ims.csv	p76	1.11721	1	20.9907	1817	194
temp_BD18_1408280841_ims.csv	p79	0.92601	1	71.6885	1485	206
temp_BD18_1408280841_ims.csv	p81	0.76072	2	10.0025	1198	55
temp_BD18_1408280841_ims.csv	p83	1.04004	1	31.0563	1683	194
temp_BD18_1408280841_ims.csv	p84	0.8903	1	18.1893	1423	234
temp_BD18_1408280841_ims.csv	p90	0.60753	0	46.506	932	215
temp_BD18_1408280841_ims.csv	p91	0.78549	2	10.4874	1241	55
temp_BD18_1408280841_ims.csv	p92	0.98072	1	61.1662	1580	190
temp_BD18_1408280841_ims.csv	p93	1.06077	-1	24.7928	1719	193
temp_BD18_1408280841_ims.csv	p103	0.90758	-1	20.9931	1453	185
temp_BD18_1408280841_ims.csv	p104	0.87763	3	24.6109	1401	57
temp_BD18_1408280841_ims.csv	p110	0.89434	3	14.6411	1430	57
temp_BD18_1408280841_ims.csv	p111	0.89952	1	12.5957	1439	61
temp_BD18_1408280841_ims.csv	p113	0.91737	3	27.8137	1470	57
temp_BD18_1408280841_ims.csv	p114	0.81774	1	18.5599	1297	61
