@relation training

@attribute t {Halls,Citrus}
@attribute p1 {0,1}
@attribute p2 {0,1}
@attribute p3 {0,1}
@attribute p4 {0,1}
@attribute p5 {0,1}
@attribute p6 {0,1}
@attribute p7 {0,1}
@attribute p8 {0,1}
@attribute p9 {0,1}
@attribute p10 {0,1}
@attribute p11 {0,1}
@attribute p12 {0,1}
@attribute p13 {0,1}
@attribute p14 {0,1}
@attribute p15 {0,1}
@attribute p16 {0,1}
@attribute p17 {0,1}
@attribute p18 {0,1}
@attribute p19 {0,1}
@attribute p20 {0,1}
@attribute p21 {0,1}
@attribute p22 {0,1}
@attribute p23 {0,1}
@attribute p24 {0,1}
@attribute p25 {0,1}
@attribute p26 {0,1}
@attribute p27 {0,1}
@attribute p28 {0,1}
@attribute p29 {0,1}
@attribute p30 {0,1}
@attribute p31 {0,1}
@attribute p32 {0,1}
@attribute p33 {0,1}
@attribute p34 {0,1}
@attribute p35 {0,1}
@attribute p36 {0,1}
@attribute p37 {0,1}
@attribute p38 {0,1}
@attribute p39 {0,1}
@attribute p40 {0,1}
@attribute p41 {0,1}
@attribute p42 {0,1}
@attribute p43 {0,1}
@attribute p44 {0,1}
@attribute p45 {0,1}
@attribute p46 {0,1}
@attribute p47 {0,1}
@attribute p48 {0,1}
@attribute p49 {0,1}
@attribute p50 {0,1}
@attribute p51 {0,1}
@attribute p52 {0,1}
@attribute p53 {0,1}
@attribute p54 {0,1}
@attribute p55 {0,1}
@attribute p56 {0,1}
@attribute p57 {0,1}
@attribute p58 {0,1}
@attribute p59 {0,1}
@attribute p60 {0,1}
@attribute p61 {0,1}
@attribute p62 {0,1}
@attribute p63 {0,1}
@attribute p64 {0,1}
@attribute p65 {0,1}
@attribute p66 {0,1}
@attribute p67 {0,1}
@attribute p68 {0,1}
@attribute p69 {0,1}
@attribute p70 {0,1}
@attribute p71 {0,1}
@attribute p72 {0,1}
@attribute p73 {0,1}
@attribute p74 {0,1}
@attribute p75 {0,1}
@attribute p76 {0,1}
@attribute p77 {0,1}
@attribute p78 {0,1}
@attribute p79 {0,1}
@attribute p80 {0,1}
@attribute p81 {0,1}
@attribute p82 {0,1}
@attribute p83 {0,1}
@attribute p84 {0,1}
@attribute p85 {0,1}
@attribute p86 {0,1}
@attribute p87 {0,1}
@attribute p88 {0,1}
@attribute p89 {0,1}
@attribute p90 {0,1}
@attribute p91 {0,1}
@attribute p92 {0,1}
@attribute p93 {0,1}
@attribute p94 {0,1}
@attribute p95 {0,1}
@attribute p96 {0,1}
@attribute p97 {0,1}
@attribute p98 {0,1}
@attribute p99 {0,1}
@attribute p100 {0,1}
@attribute p101 {0,1}
@attribute p102 {0,1}
@attribute p103 {0,1}
@attribute p104 {0,1}
@attribute p105 {0,1}
@attribute p106 {0,1}
@attribute p107 {0,1}
@attribute p108 {0,1}
@attribute p109 {0,1}
@attribute p110 {0,1}
@attribute p111 {0,1}
@attribute p112 {0,1}
@attribute p113 {0,1}
@attribute p114 {0,1}
@attribute p115 {0,1}
@attribute p116 {0,1}
@attribute p117 {0,1}
@attribute p118 {0,1}
@attribute p119 {0,1}
@attribute p120 {0,1}
@attribute p121 {0,1}
@attribute p122 {0,1}
@attribute p123 {0,1}
@attribute p124 {0,1}
@attribute p125 {0,1}
@attribute p126 {0,1}
@attribute p127 {0,1}
@attribute p128 {0,1}
@attribute p129 {0,1}
@attribute p130 {0,1}
@attribute p131 {0,1}
@attribute p132 {0,1}
@attribute p133 {0,1}
@attribute p134 {0,1}
@attribute p135 {0,1}
@attribute p136 {0,1}
@attribute p137 {0,1}
@attribute p138 {0,1}
@attribute p139 {0,1}
@attribute p140 {0,1}
@attribute p141 {0,1}
@attribute p142 {0,1}
@attribute p143 {0,1}
@attribute p144 {0,1}
@attribute p145 {0,1}
@attribute p146 {0,1}
@attribute p147 {0,1}
@attribute p148 {0,1}
@attribute p149 {0,1}
@attribute p150 {0,1}
@attribute p151 {0,1}
@attribute p152 {0,1}
@attribute p153 {0,1}
@attribute p154 {0,1}
@attribute p155 {0,1}
@attribute p156 {0,1}
@attribute p157 {0,1}
@attribute p158 {0,1}
@attribute p159 {0,1}
@attribute p160 {0,1}
@attribute p161 {0,1}
@attribute p162 {0,1}
@attribute p163 {0,1}
@attribute p164 {0,1}
@attribute p165 {0,1}
@attribute p166 {0,1}
@attribute p167 {0,1}
@attribute p168 {0,1}
@attribute p169 {0,1}
@attribute p170 {0,1}
@attribute p171 {0,1}
@attribute p172 {0,1}
@attribute p173 {0,1}
@attribute p174 {0,1}
@attribute p175 {0,1}
@attribute p176 {0,1}
@attribute p177 {0,1}
@attribute p178 {0,1}
@attribute p179 {0,1}
@attribute p180 {0,1}
@attribute p181 {0,1}
@attribute p182 {0,1}
@attribute p183 {0,1}
@attribute p184 {0,1}
@attribute p185 {0,1}
@attribute p186 {0,1}
@attribute p187 {0,1}
@attribute p188 {0,1}
@attribute p189 {0,1}
@attribute p190 {0,1}
@attribute p191 {0,1}
@attribute p192 {0,1}
@attribute p193 {0,1}
@attribute p194 {0,1}
@attribute p195 {0,1}
@attribute p196 {0,1}
@attribute p197 {0,1}
@attribute p198 {0,1}
@attribute p199 {0,1}
@attribute p200 {0,1}
@attribute p201 {0,1}
@attribute p202 {0,1}
@attribute p203 {0,1}
@attribute sourcefile string

@data

?,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,BD18_1511110743_ims.csv
?,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,BD18_1511110750_ims.csv
?,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BD18_1511110908_ims.csv
?,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,BD18_1511110804_ims.csv
?,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BD18_1511110755_ims.csv
?,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,BD18_1511110748_ims.csv
?,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BD18_1511110919_ims.csv
?,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BD18_1511110914_ims.csv
?,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BD18_1511110900_ims.csv
