"t"	"r"
"1"	0.47876	0
"2"	0.50351	0
"3"	1.03585	0.192038
"4"	1.0721	0.194876
"5"	1.09973	0.190976
"6"	1.12735	0.192038
"7"	1.02606	0.19291
"8"	1.05714	0.190976
"9"	0.78493	0.00805
"10"	0.94319	0.190976
"11"	1.05081	0.19291
"12"	1.00592	0.192038
"13"	1.01686	0.19291
"14"	0.80104	0.061528
"15"	0.62264	0.009112
"16"	1.10433	0.19291
"17"	0.9806	0.193972
"18"	0.96103	0.193972
"19"	1.12102	0.193972
"20"	0.84651	0.058688
"21"	0.79586	0.006958
"22"	0.95643	0.193972
"23"	0.69055	0.00805
"24"	1.08649	0.19681
"25"	0.81485	0.00805
"26"	0.92593	0.20199
"27"	0.75328	0.00805
"28"	0.49718	0.013012
"29"	0.71299	0.00805
"30"	0.58811	0.00805
"31"	0.95067	0.189916
"32"	1.06808	0.193972
"33"	0.5484	0.014946
"34"	0.91729	0.056754
"35"	0.79471	0.055692
"36"	1.07901	0.193972
"37"	0.60595	0.207824
"38"	0.88967	0.23269
"39"	0.76018	0.055692
"40"	0.81083	0.055692
"41"	1.14001	0.193972
"42"	1.09455	0.194876
"43"	1.11584	0.195938
"44"	0.82349	0.056754
"45"	0.89888	0.055692
"46"	0.90578	0.056754
"47"	0.78378	0.054788
"48"	0.87471	0.056754
"49"	0.81658	0.056754
"50"	0.64451	0.055692
"51"	0.57832	0.080652
"310"	0.66004	0.058562
"410"	0.8068	0.00677
"111"	0.85284	0.058562
"151"	0.59789	0.057688
"181"	0.59674	0.07541
"231"	0.86147	0.112256
"251"	0.59789	0.112256
"271"	0.83788	0.058562
"331"	0.92535	0.195874
"401"	0.64508	0.221614
"311"	0.45412	0.011762
"411"	0.63602	0.004836
"221"	0.59861	0.038594
"232"	0.89794	0.194938
"261"	0.59861	0.093444
"291"	0.90715	0.192816
"321"	0.60724	0.198838
"152"	0.64496	0.062712
"161"	0.93465	0.193004
"201"	0.80334	0.055786
"211"	0.96575	0.19993
"222"	0.60753	0.178994
"233"	0.88454	0.05666
"252"	0.94041	0.19993
"281"	0.95538	0.186078
"371"	1.06135	0.195844
"381"	0.96172	0.18695
"402"	0.60753	0.21394
"441"	0.90758	0.183956
"481"	1.12816	0.199026
"71"	0.89773	0.007082
"112"	0.85917	0.008142
"162"	0.94434	0.058906
"282"	0.92593	0.18801
"312"	0.89182	0.187742
"171"	0.63905	0.045626
"412"	0.83309	0.111272
"431"	0.82618	0.112332
"451"	0.84633	0.112332
