measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1411061846_ims.csv	p1	0.47964	0	128.145	834	0
BD18_1411061846_ims.csv	p2	0.50574	0	23.9827	879	0
BD18_1411061846_ims.csv	p3	0.79576	2.449	18.2141	1379	5
BD18_1411061846_ims.csv	p4	0.83926	3.947	12.4834	1454	8
BD18_1411061846_ims.csv	p5	0.74124	3.947	26.5256	1285	8
BD18_1411061846_ims.csv	p6	0.71455	4.399	18.6904	1239	9
BD18_1411061846_ims.csv	p8	0.58114	3.947	217.411	1009	8
BD18_1411061846_ims.csv	p9	0.69077	3.416	67.5258	1198	7
BD18_1411061846_ims.csv	p10	0.49762	6.443	42.035	865	13
BD18_1411061846_ims.csv	p11	0.54808	7.972	356.879	952	16
BD18_1411061846_ims.csv	p12	0.57708	22.823	10.1076	1002	46
BD18_1411061846_ims.csv	p13	0.53648	8.954	89.9357	932	18
BD18_1411061846_ims.csv	p14	0.45005	12.34	135.359	783	25
BD18_1411061846_ims.csv	p15	0.44889	24.788	97.9694	781	50
BD18_1411061846_ims.csv	p16	0.45353	4.93	455.312	789	10
BD18_1411061846_ims.csv	p17	0.77314	29.344	13.3196	1340	59
BD18_1411061846_ims.csv	p18	0.87522	28.798	15.1152	1516	58
BD18_1411061846_ims.csv	p19	0.8004	29.344	14.6721	1387	59
BD18_1411061846_ims.csv	p20	0.8149	29.344	17.4294	1412	59
BD18_1411061846_ims.csv	p21	0.70469	28.798	10.103	1222	58
BD18_1411061846_ims.csv	p22	0.7511	28.798	12.4369	1302	58
BD18_1411061846_ims.csv	p23	0.76908	29.78	13.1128	1333	60
BD18_1411061846_ims.csv	p24	0.80562	29.344	14.3449	1396	59
BD18_1411061846_ims.csv	p25	0.80968	29.344	15.2369	1403	59
BD18_1411061846_ims.csv	p26	0.82128	29.344	16.7258	1423	59
BD18_1411061846_ims.csv	p27	0.84738	29.344	207.859	1468	59
BD18_1411061846_ims.csv	p28	0.88045	29.344	15.6403	1525	59
BD18_1411061846_ims.csv	p29	0.89785	28.798	14.1696	1555	58
BD18_1411061846_ims.csv	p30	0.91699	29.344	19.4403	1588	59
BD18_1411061846_ims.csv	p31	0.71803	28.798	28.926	1245	58
BD18_1411061846_ims.csv	p32	0.7627	28.798	19.3431	1322	58
BD18_1411061846_ims.csv	p33	0.78416	29.344	21.2367	1359	59
BD18_1411061846_ims.csv	p35	0.68729	28.361	70.6681	1192	57
BD18_1411061846_ims.csv	p36	0.64379	29.344	349.786	1117	59
BD18_1411061846_ims.csv	p45	0.44425	59.14	25.3073	773	119
BD18_1411061846_ims.csv	p46	0.44425	77.095	16.9624	773	155
BD18_1411061846_ims.csv	p49	0.44889	33.322	73.2313	781	67
BD18_1411061846_ims.csv	p51	0.44889	69.077	34.5614	781	139
BD18_1411061846_ims.csv	p56	0.44889	41.246	63.492	781	83
BD18_1411061846_ims.csv	p58	0.44889	60.653	41.6965	781	122
BD18_1411061846_ims.csv	p61	0.74008	91.463	22.4271	1283	184
BD18_1411061846_ims.csv	p62	0.96397	95.488	45.4793	1669	192
BD18_1411061846_ims.csv	p63	1.00631	95.94	38.4668	1742	193
BD18_1411061846_ims.csv	p65	1.02372	95.94	32.2436	1772	193
BD18_1411061846_ims.csv	p66	1.06026	96.471	21.3615	1835	194
BD18_1411061846_ims.csv	p67	1.08404	95.94	17.1862	1876	193
BD18_1411061846_ims.csv	p69	1.03532	95.94	28.1945	1792	193
BD18_1411061846_ims.csv	p70	1.05272	95.488	23.5409	1822	192
BD18_1411061846_ims.csv	p73	1.1084	96.471	15.2533	1918	194
BD18_1411061846_ims.csv	p74	1.04808	95.94	24.0553	1814	193
BD18_1411061846_ims.csv	p75	1.1171	96.471	17.446	1933	194
BD18_1411061846_ims.csv	p76	1.07708	96.471	18.6984	1864	194
BD18_1411061846_ims.csv	p79	0.90365	97.984	16.2343	1565	197
BD18_1411061846_ims.csv	p82	1.01734	95.94	33.7885	1761	193
BD18_1411061846_ims.csv	p83	0.96977	97.453	46.6749	1679	196
BD18_1411061846_ims.csv	p84	1.09216	95.94	16.3345	1890	193
BD18_1411061846_ims.csv	p87	0.95237	95.94	45.4573	1649	193
BD18_1411061846_ims.csv	p88	1.06722	95.94	20.5453	1847	193
BD18_1411061846_ims.csv	p90	0.94773	95.488	45.4743	1641	192
BD18_1411061846_ims.csv	p92	0.95817	95.94	46.0784	1659	193
BD18_1411061846_ims.csv	p95	1.09912	97.984	15.6493	1902	197
BD18_1411061846_ims.csv	p96	1.11188	97.984	16.6481	1924	197
BD18_1411061846_ims.csv	p97	1.14146	95.94	39.5132	1975	193
BD18_1411061846_ims.csv	p100	0.92569	100.012	96.8035	1603	201
BD18_1411061846_ims.csv	p102	0.98021	95.94	54.7888	1697	193
BD18_1411061846_ims.csv	p104	0.60725	101.962	70.2466	1054	205
BD18_1411061846_ims.csv	p105	0.88973	115.861	82.889	1541	233
