measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1410160957_ims.csv	p1	0.47816	0	40.8834	822	0
BD18_1410160957_ims.csv	p2	0.8226	2.98	12.0913	1409	6
BD18_1410160957_ims.csv	p3	0.58906	3.947	14.8592	1011	8
BD18_1410160957_ims.csv	p4	0.63483	2.449	22.2601	1089	5
BD18_1410160957_ims.csv	p5	0.68881	3.947	21.8573	1181	8
BD18_1410160957_ims.csv	p6	0.79384	3.432	29.4829	1360	7
BD18_1410160957_ims.csv	p7	0.71932	3.432	15.2786	1233	7
BD18_1410160957_ims.csv	p8	0.49928	7.457	14.382	858	15
BD18_1410160957_ims.csv	p9	0.5474	7.457	37.9398	940	15
BD18_1410160957_ims.csv	p10	0.45586	5.881	12.776	784	12
BD18_1410160957_ims.csv	p11	0.59669	14.383	14.2622	1024	29
BD18_1410160957_ims.csv	p12	0.82377	19.297	13.048	1411	39
BD18_1410160957_ims.csv	p13	0.80265	19.297	46.0463	1375	39
BD18_1410160957_ims.csv	p14	0.849	19.297	23.8518	1454	39
BD18_1410160957_ims.csv	p15	0.64715	19.297	25.3564	1110	39
BD18_1410160957_ims.csv	p16	0.57498	22.807	12.9605	987	46
BD18_1410160957_ims.csv	p17	0.85194	28.813	35.0867	1459	58
BD18_1410160957_ims.csv	p18	0.78856	28.813	11.1409	1351	58
BD18_1410160957_ims.csv	p19	0.81203	28.813	63.4732	1391	58
BD18_1410160957_ims.csv	p20	0.83961	28.813	47.5655	1438	58
BD18_1410160957_ims.csv	p21	0.87893	28.813	11.2975	1505	58
BD18_1410160957_ims.csv	p22	0.64656	28.813	153.162	1109	58
BD18_1410160957_ims.csv	p23	0.59728	46.192	12.2679	1025	93
BD18_1410160957_ims.csv	p25	0.59669	28.813	135.786	1024	58
BD18_1410160957_ims.csv	p26	0.59669	19.297	281.862	1024	39
BD18_1410160957_ims.csv	p27	0.59669	36.769	247.625	1024	74
BD18_1410160957_ims.csv	p28	0.59728	55.708	127.835	1025	112
BD18_1410160957_ims.csv	p31	0.8625	93.039	10.9589	1477	187
BD18_1410160957_ims.csv	p35	1.00215	96.003	44.7475	1715	193
BD18_1410160957_ims.csv	p36	1.0397	96.003	29.1343	1779	193
BD18_1410160957_ims.csv	p37	1.11598	95.488	17.6427	1909	192
BD18_1410160957_ims.csv	p38	0.90416	94.521	32.511	1548	190
BD18_1410160957_ims.csv	p39	0.94875	95.488	54.092	1624	192
BD18_1410160957_ims.csv	p40	1.05731	95.488	23.5476	1809	192
BD18_1410160957_ims.csv	p41	0.9599	96.003	53.6562	1643	193
BD18_1410160957_ims.csv	p42	1.06435	96.003	21.9558	1821	193
BD18_1410160957_ims.csv	p44	1.10425	95.488	16.2335	1889	192
BD18_1410160957_ims.csv	p45	1.0086	96.439	41.4191	1726	194
BD18_1410160957_ims.csv	p47	0.87541	98.889	12.8572	1499	199
BD18_1410160957_ims.csv	p48	1.03266	96.003	30.7796	1767	193
BD18_1410160957_ims.csv	p49	1.04968	96.97	24.6235	1796	195
BD18_1410160957_ims.csv	p51	1.09369	95.488	16.8127	1871	192
BD18_1410160957_ims.csv	p53	1.12654	96.439	17.0253	1927	194
BD18_1410160957_ims.csv	p54	1.07608	96.439	19.1967	1841	194
BD18_1410160957_ims.csv	p55	1.11129	96.003	18.0073	1901	193
BD18_1410160957_ims.csv	p56	1.13828	96.003	25.6759	1947	193
BD18_1410160957_ims.csv	p57	0.95403	96.003	53.5996	1633	193
BD18_1410160957_ims.csv	p58	1.07139	96.003	20.4935	1833	193
BD18_1410160957_ims.csv	p59	1.08488	96.003	17.2284	1856	193
BD18_1410160957_ims.csv	p60	0.97868	96.003	66.6413	1675	193
BD18_1410160957_ims.csv	p62	0.92528	98.452	91.735	1584	198
BD18_1410160957_ims.csv	p64	0.60608	101.962	21.8564	1040	205
BD18_1410160957_ims.csv	p65	0.88773	115.877	35.8838	1520	233
