measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1511121709_ims.csv	p1	0.47858	0	136.604	831	0
BD18_1511121709_ims.csv	p3	0.68712	29.936	14.6059	1190	60
BD18_1511121709_ims.csv	p4	0.49659	7.067	243.15	862	14
BD18_1511121709_ims.csv	p5	0.44663	41.933	17.1957	776	84
BD18_1511121709_ims.csv	p6	0.65052	4.056	12.3331	1127	8
BD18_1511121709_ims.csv	p7	0.95083	97.812	58.6639	1644	196
BD18_1511121709_ims.csv	p9	0.81491	29.936	52.6763	1410	60
BD18_1511121709_ims.csv	p11	0.83989	29.936	28.6804	1453	60
BD18_1511121709_ims.csv	p12	0.53783	8.034	45.3034	933	16
BD18_1511121709_ims.csv	p13	0.50879	11.575	15.4493	883	23
BD18_1511121709_ims.csv	p14	0.58721	3.526	81.4881	1018	7
BD18_1511121709_ims.csv	p15	0.71326	5.023	11.1157	1235	10
BD18_1511121709_ims.csv	p16	0.84453	29.936	29.0639	1461	60
BD18_1511121709_ims.csv	p17	0.44663	33.462	25.3659	776	67
BD18_1511121709_ims.csv	p18	1.10128	97.812	14.8809	1903	196
BD18_1511121709_ims.csv	p19	0.64355	29.936	309.994	1115	60
BD18_1511121709_ims.csv	p20	1.03738	96.767	26.7922	1793	194
BD18_1511121709_ims.csv	p21	0.54887	8.034	200.181	952	16
BD18_1511121709_ims.csv	p22	1.10883	97.812	14.9615	1916	196
BD18_1511121709_ims.csv	p23	0.82885	19.952	10.2779	1434	40
BD18_1511121709_ims.csv	p24	1.11638	97.812	15.4238	1929	196
BD18_1511121709_ims.csv	p25	0.59824	29.936	221.542	1037	60
BD18_1511121709_ims.csv	p27	0.68828	75.317	12.6288	1192	151
BD18_1511121709_ims.csv	p28	1.14485	98.265	33.4929	1978	197
BD18_1511121709_ims.csv	p29	0.59824	37.877	316.023	1037	76
BD18_1511121709_ims.csv	p30	0.97581	97.812	54.4248	1687	196
BD18_1511121709_ims.csv	p31	0.65052	45.911	14.3999	1127	92
BD18_1511121709_ims.csv	p32	0.8062	19.952	29.2762	1395	40
BD18_1511121709_ims.csv	p33	0.59766	47.408	34.6321	1036	95
BD18_1511121709_ims.csv	p35	0.59824	56.878	154.041	1037	114
BD18_1511121709_ims.csv	p36	0.83234	20.483	10.1519	1440	41
BD18_1511121709_ims.csv	p37	1.05074	98.265	23.8503	1816	197
BD18_1511121709_ims.csv	p39	0.84976	19.952	15.0131	1470	40
BD18_1511121709_ims.csv	p40	1.12277	97.297	15.4547	1940	195
BD18_1511121709_ims.csv	p41	1.12742	97.297	14.3442	1948	195
BD18_1511121709_ims.csv	p42	0.85325	19.952	14.8141	1476	40
BD18_1511121709_ims.csv	p43	0.64413	19.952	65.055	1116	40
BD18_1511121709_ims.csv	p45	0.5965	14.992	20.4083	1034	30
BD18_1511121709_ims.csv	p47	0.59824	19.952	330.958	1037	40
BD18_1511121709_ims.csv	p49	0.57849	23.478	48.6052	1003	47
BD18_1511121709_ims.csv	p50	1.07107	97.812	20.388	1851	196
BD18_1511121709_ims.csv	p51	0.4478	10.514	58.6845	778	21
BD18_1511121709_ims.csv	p52	1.09199	97.812	15.7319	1887	196
BD18_1511121709_ims.csv	p53	1.04319	96.767	24.9858	1803	194
BD18_1511121709_ims.csv	p54	1.05481	97.297	22.9661	1823	195
BD18_1511121709_ims.csv	p55	1.06236	97.812	21.0027	1836	196
BD18_1511121709_ims.csv	p56	1.02286	97.812	32.0139	1768	196
BD18_1511121709_ims.csv	p57	0.44663	23.041	33.5566	776	46
BD18_1511121709_ims.csv	p58	1.06643	96.767	20.5909	1843	194
BD18_1511121709_ims.csv	p59	1.08734	97.297	16.0885	1879	195
BD18_1511121709_ims.csv	p61	0.45186	5.476	203.102	785	11
BD18_1511121709_ims.csv	p62	0.92702	100.293	138.538	1603	201
BD18_1511121709_ims.csv	p64	0.60696	102.243	163.339	1052	205
BD18_1511121709_ims.csv	p65	0.891	117.219	16.3023	1541	235
