measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1511110904_ims.csv	p1	0.4788	0	146.395	829	0
BD18_1511110904_ims.csv	p3	0.5988	19.5	44.3526	1035	39
BD18_1511110904_ims.csv	p4	0.60288	2.98	10.7617	1042	6
BD18_1511110904_ims.csv	p5	0.57783	23.509	21.3256	999	47
BD18_1511110904_ims.csv	p6	0.68968	4.025	10.4035	1191	8
BD18_1511110904_ims.csv	p7	0.81434	29.468	78.1574	1405	59
BD18_1511110904_ims.csv	p8	0.50909	10.967	49.7467	881	22
BD18_1511110904_ims.csv	p9	0.58773	3.494	86.7625	1016	7
BD18_1511110904_ims.csv	p10	0.51025	20.982	13.7614	883	42
BD18_1511110904_ims.csv	p11	1.00775	97.765	12.6839	1737	196
BD18_1511110904_ims.csv	p12	0.45316	4.992	52.7781	785	10
BD18_1511110904_ims.csv	p14	0.65123	4.025	11.8294	1125	8
BD18_1511110904_ims.csv	p15	0.96522	97.157	19.7101	1664	195
BD18_1511110904_ims.csv	p16	0.49685	7.004	257.822	860	14
BD18_1511110904_ims.csv	p17	0.84231	29.468	47.2271	1453	59
BD18_1511110904_ims.csv	p18	0.59822	28.938	200.369	1034	58
BD18_1511110904_ims.csv	p19	0.99493	97.765	15.5348	1715	196
BD18_1511110904_ims.csv	p20	0.53763	7.972	25.3706	930	16
BD18_1511110904_ims.csv	p21	1.00367	96.704	12.847	1730	194
BD18_1511110904_ims.csv	p22	0.64424	29.468	342.304	1113	59
BD18_1511110904_ims.csv	p23	0.59764	37.362	21.8533	1033	75
BD18_1511110904_ims.csv	p24	0.5487	7.972	194.312	949	16
BD18_1511110904_ims.csv	p25	0.5988	56.347	321.035	1035	113
BD18_1511110904_ims.csv	p26	1.01474	97.765	10.8305	1749	196
BD18_1511110904_ims.csv	p27	0.95182	97.157	21.4469	1641	195
BD18_1511110904_ims.csv	p28	0.96056	97.765	20.4743	1656	196
BD18_1511110904_ims.csv	p29	0.85454	29.468	34.4333	1474	59
BD18_1511110904_ims.csv	p30	1.0194	97.765	10.8264	1757	196
BD18_1511110904_ims.csv	p31	0.95707	97.765	21.4192	1650	196
BD18_1511110904_ims.csv	p32	0.97804	97.765	23.0205	1686	196
BD18_1511110904_ims.csv	p33	0.65065	94.676	11.915	1124	190
BD18_1511110904_ims.csv	p35	0.65706	100.667	10.042	1135	202
BD18_1511110904_ims.csv	p36	0.66113	94.676	10.1621	1142	190
BD18_1511110904_ims.csv	p37	0.92561	97.157	105.027	1596	195
BD18_1511110904_ims.csv	p39	0.60696	99.247	140.019	1049	199
BD18_1511110904_ims.csv	p40	0.88949	117.156	15.6463	1534	235
