measurement_name	peak_name	t	r	signal	index_t	index_r
temp_BD18_1408280838_ims.csv	p1	0.47887	0	43.8772	709	0
temp_BD18_1408280838_ims.csv	p2	0.71258	0	10.6085	1115	8
temp_BD18_1408280838_ims.csv	p3	0.54853	2	76.1271	830	16
temp_BD18_1408280838_ims.csv	p5	0.58825	0	27.2566	899	8
temp_BD18_1408280838_ims.csv	p7	0.62278	0	17.4954	959	8
temp_BD18_1408280838_ims.csv	p8	0.45412	1	10.9711	666	12
temp_BD18_1408280838_ims.csv	p9	0.75403	0	13.1223	1187	9
temp_BD18_1408280838_ims.csv	p11	0.63602	-1	14.674	982	5
temp_BD18_1408280838_ims.csv	p14	0.69013	0	19.4726	1076	8
temp_BD18_1408280838_ims.csv	p15	0.79605	-1	24.6938	1260	7
temp_BD18_1408280838_ims.csv	p16	0.57846	-1	10.2271	882	81
temp_BD18_1408280838_ims.csv	p18	0.59861	-2	258.954	917	113
temp_BD18_1408280838_ims.csv	p19	0.96644	0	20.6916	1556	194
temp_BD18_1408280838_ims.csv	p20	0.4973	3	31.1072	741	14
temp_BD18_1408280838_ims.csv	p22	0.9486	-1	22.5351	1525	195
temp_BD18_1408280838_ims.csv	p23	0.81332	-1	135.45	1290	59
temp_BD18_1408280838_ims.csv	p24	0.89794	2	13.4516	1437	196
temp_BD18_1408280838_ims.csv	p25	1.01882	0	10.618	1647	194
temp_BD18_1408280838_ims.csv	p26	0.95608	0	21.4751	1538	194
temp_BD18_1408280838_ims.csv	p27	0.83922	-1	96.5963	1335	59
temp_BD18_1408280838_ims.csv	p28	0.90715	0	19.7883	1453	194
temp_BD18_1408280838_ims.csv	p29	0.85304	-1	74.3582	1359	59
temp_BD18_1408280838_ims.csv	p30	1.00558	-1	12.0928	1624	195
temp_BD18_1408280838_ims.csv	p31	0.97968	0	28.6961	1579	194
temp_BD18_1408280838_ims.csv	p32	0.91751	1	14.6291	1471	58
temp_BD18_1408280838_ims.csv	p33	0.64408	-1	203.773	996	59
temp_BD18_1408280838_ims.csv	p34	0.92557	0	64.6467	1485	194
temp_BD18_1408280838_ims.csv	p35	0.60724	0	45.7765	932	200
temp_BD18_1408280838_ims.csv	p37	0.88931	0	22.361	1422	234
