"BD18_1408280826_ims.csv"	"BD18_1408280834_ims.csv"	"BD18_1408280838_ims.csv"	"BD18_1408280841_ims.csv"	"BD18_1408280844_ims.csv"	"BD18_1408280851_ims.csv"
"1"	1	1	1	1	1	1
"2"	1	1	0	1	1	0
"3"	1	1	0	1	1	1
"4"	1	1	0	0	0	1
"5"	1	1	0	1	0	1
"6"	1	0	0	0	0	1
"7"	1	1	0	0	1	1
"8"	1	0	0	1	1	1
"9"	1	0	0	0	0	0
"10"	1	1	0	1	1	0
"11"	1	1	0	1	1	1
"12"	1	1	1	0	1	0
"13"	1	1	1	1	1	1
"14"	1	0	0	0	1	0
"15"	1	1	1	0	1	1
"16"	1	1	0	1	0	1
"17"	1	1	1	1	1	1
"18"	1	0	1	0	1	1
"19"	1	1	0	1	1	1
"20"	1	0	0	1	1	0
"21"	1	1	1	1	1	1
"22"	1	1	1	0	1	1
"23"	1	1	1	1	1	1
"24"	1	1	0	1	1	1
"25"	1	1	0	0	0	0
"26"	1	0	0	1	0	0
"27"	1	1	1	1	1	0
"28"	1	1	1	1	1	1
"29"	1	1	1	0	0	0
"30"	1	1	1	1	1	1
"31"	1	1	1	0	0	1
"32"	1	1	0	1	1	0
"33"	1	1	1	1	1	1
"34"	1	0	1	1	1	1
"35"	1	0	0	0	1	0
"36"	1	1	0	1	1	1
"37"	1	1	0	0	1	0
"38"	1	1	1	1	1	1
"39"	1	0	0	1	1	0
"40"	1	1	0	0	0	0
"41"	1	1	0	1	1	1
"42"	1	0	0	1	1	1
"43"	1	0	0	1	1	1
"44"	1	0	0	0	0	0
"45"	1	0	0	1	1	0
"46"	1	0	0	1	0	0
"47"	1	0	0	1	1	1
"48"	1	0	0	1	1	0
"49"	1	0	1	1	1	1
"50"	1	1	1	0	1	1
"51"	1	1	1	0	0	0
"52"	0	1	0	0	0	0
"53"	0	1	0	0	0	0
"54"	0	1	1	0	0	0
"55"	0	1	1	0	0	1
"56"	0	1	1	0	0	1
"57"	0	1	0	0	0	1
"58"	0	1	1	0	0	1
"59"	0	1	1	0	0	1
"60"	0	1	1	0	0	1
"61"	0	1	0	0	0	0
"62"	0	0	1	0	1	1
"63"	0	0	1	1	1	1
"64"	0	0	1	0	0	1
"65"	0	0	1	1	0	0
"66"	0	0	1	0	0	1
"67"	0	0	1	0	0	0
"68"	0	0	1	0	0	1
"69"	0	0	0	1	0	0
"70"	0	0	0	1	0	0
"71"	0	0	0	1	0	0
"72"	0	0	0	1	0	0
"73"	0	0	0	1	0	0
"74"	0	0	0	1	0	0
"75"	0	0	0	1	0	0
"76"	0	0	0	1	0	0
"77"	0	0	0	1	1	0
"78"	0	0	0	1	0	0
"79"	0	0	0	1	0	0
"80"	0	0	0	1	0	0
"81"	0	0	0	1	0	0
"82"	0	0	0	0	1	1
"83"	0	0	0	0	1	1
"84"	0	0	0	0	1	0
"85"	0	0	0	0	1	0
"86"	0	0	0	0	0	1
"87"	0	0	0	0	0	1
"88"	0	0	0	0	0	1
"89"	0	0	0	0	0	1
"90"	0	0	0	0	0	1
