file_name peak_id t r sid col
BD18_1411061849_ims.csv 1 0.47941 0 1 #B3D6C8
BD18_1411061849_ims.csv 2 0.54724 1.997 1 #EFD08C
BD18_1411061849_ims.csv 3 0.7948 2.434 1 #BD9487
BD18_1411061849_ims.csv 4 0.83886 3.978 1 #02D229
BD18_1411061849_ims.csv 5 0.74088 3.978 1 #45F6F8
BD18_1411061849_ims.csv 6 0.68986 3.417 1 #B04473
BD18_1411061849_ims.csv 8 0.58087 3.978 1 #9CC9CA
BD18_1411061849_ims.csv 9 0.71479 4.431 1 #AB8D22
BD18_1411061849_ims.csv 10 0.78146 8.955 1 #2BE093
BD18_1411061849_ims.csv 11 0.59826 19.438 1 #1CC18B
BD18_1411061849_ims.csv 12 0.54782 7.894 1 #7B2FD1
BD18_1411061849_ims.csv 13 0.53564 9.922 1 #8BACE9
BD18_1411061849_ims.csv 14 0.53622 20.857 1 #D5C423
BD18_1411061849_ims.csv 15 0.68754 29.328 1 #EDD2E7
BD18_1411061849_ims.csv 16 0.59826 29.328 1 #3AC6AD
BD18_1411061849_ims.csv 17 0.64406 29.328 1 #FAF8DF
BD18_1411061849_ims.csv 18 0.59826 37.253 1 #FC939A
BD18_1411061849_ims.csv 23 0.44694 80.543 1 #EEA7B8
BD18_1411061849_ims.csv 26 0.4481 39.749 1 #72E24D
BD18_1411061849_ims.csv 27 0.44752 51.184 1 #3AA03E
BD18_1411061849_ims.csv 29 0.44926 21.825 1 #F1E6FD
BD18_1411061849_ims.csv 30 0.44868 32.277 1 #CCDABC
BD18_1411061849_ims.csv 32 0.44984 15.351 1 #28FB19
BD18_1411061849_ims.csv 33 0.45332 4.883 1 #A8ECE8
BD18_1411061849_ims.csv 34 0.92525 96.455 1 #D68295
BD18_1411061849_ims.csv 35 0.73972 96.455 1 #1B87BD
BD18_1411061849_ims.csv 36 0.60696 96.986 1 #6FBE64
BD18_1411061849_ims.csv 37 0.8893 116.361 1 #12EB05
BD18_1411061809_ims.csv 1 0.47871 0 2 #B3D6C8
BD18_1411061809_ims.csv 6 0.79614 3.463 2 #B04473
BD18_1411061809_ims.csv 8 0.58781 3.993 2 #9CC9CA
BD18_1411061809_ims.csv 6 0.63597 3.01 2 #B04473
BD18_1411061809_ims.csv 5 0.69052 3.993 2 #45F6F8
BD18_1411061809_ims.csv 12 0.58258 7.472 2 #7B2FD1
BD18_1411061809_ims.csv 38 0.49728 5.959 2 #7FC8C0
BD18_1411061809_ims.csv 13 0.53558 9.952 2 #8BACE9
BD18_1411061809_ims.csv 12 0.54834 7.472 2 #7B2FD1
BD18_1411061809_ims.csv 39 0.5083 13.447 2 #8DF2BA
BD18_1411061809_ims.csv 40 0.57794 22.854 2 #C0ECE7
BD18_1411061809_ims.csv 41 0.44911 13.977 2 #4DEB4C
BD18_1411061809_ims.csv 42 0.45317 5.428 2 #A1E50F
BD18_1411061809_ims.csv 16 0.59883 29.328 2 #3AC6AD
BD18_1411061809_ims.csv 17 0.6441 29.328 2 #FAF8DF
BD18_1411061809_ims.csv 43 0.59883 56.238 2 #F047BD
BD18_1411061809_ims.csv 34 0.90234 95.986 2 #D68295
BD18_1411061809_ims.csv 34 0.98068 96.517 2 #D68295
BD18_1411061809_ims.csv 34 0.90582 96.517 2 #D68295
BD18_1411061809_ims.csv 34 0.92555 96.517 2 #D68295
BD18_1411061809_ims.csv 36 0.60754 96.969 2 #6FBE64
BD18_1411061809_ims.csv 44 0.6441 109.434 2 #014ED2
BD18_1411061809_ims.csv 45 0.88957 115.845 2 #57BB3A
BD18_1411061750_ims.csv 1 0.47871 0 3 #B3D6C8
BD18_1411061750_ims.csv 1 0.5025 0 3 #B3D6C8
BD18_1411061750_ims.csv 3 0.59651 2.48 3 #BD9487
BD18_1411061750_ims.csv 6 0.63655 3.026 3 #B04473
BD18_1411061750_ims.csv 6 0.72244 3.026 3 #B04473
BD18_1411061750_ims.csv 6 0.79556 3.463 3 #B04473
BD18_1411061750_ims.csv 4 0.81587 3.994 3 #02D229
BD18_1411061750_ims.csv 5 0.69052 3.994 3 #45F6F8
BD18_1411061750_ims.csv 8 0.58781 3.994 3 #9CC9CA
