measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1411061809_ims.csv	p1	0.47871	0	82.6354	832	0
BD18_1411061809_ims.csv	p2	0.79614	3.463	22.1595	1379	7
BD18_1411061809_ims.csv	p3	0.58781	3.993	59.8039	1020	8
BD18_1411061809_ims.csv	p4	0.63597	3.01	54.0532	1103	6
BD18_1411061809_ims.csv	p5	0.69052	3.993	21.2877	1197	8
BD18_1411061809_ims.csv	p6	0.58258	7.472	15.7557	1011	15
BD18_1411061809_ims.csv	p7	0.49728	5.959	138.325	864	12
BD18_1411061809_ims.csv	p8	0.53558	9.952	16.6271	930	20
BD18_1411061809_ims.csv	p9	0.54834	7.472	428.28	952	15
BD18_1411061809_ims.csv	p10	0.5083	13.447	12.2856	883	27
BD18_1411061809_ims.csv	p11	0.57794	22.854	10.9163	1003	46
BD18_1411061809_ims.csv	p13	0.44911	13.977	13.7874	781	28
BD18_1411061809_ims.csv	p14	0.45317	5.428	49.5888	788	11
BD18_1411061809_ims.csv	p15	0.59883	29.328	65.8644	1039	59
BD18_1411061809_ims.csv	p16	0.6441	29.328	75.1668	1117	59
BD18_1411061809_ims.csv	p17	0.59883	56.238	164.392	1039	113
BD18_1411061809_ims.csv	p18	0.90234	95.986	11.3214	1562	193
BD18_1411061809_ims.csv	p19	0.98068	96.517	11.683	1697	194
BD18_1411061809_ims.csv	p20	0.90582	96.517	11.4685	1568	194
BD18_1411061809_ims.csv	p21	0.92555	96.517	52.2271	1602	194
BD18_1411061809_ims.csv	p22	0.60754	96.969	104.425	1054	195
BD18_1411061809_ims.csv	p23	0.6441	109.434	11.969	1117	220
BD18_1411061809_ims.csv	p24	0.88957	115.845	92.1764	1540	233
