measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1410161000_ims.csv	p1	0.47875	0	38.8139	823	0
BD18_1410161000_ims.csv	p2	0.89594	3.51	13.2717	1534	7
BD18_1410161000_ims.csv	p3	0.58906	3.947	10.0708	1011	8
BD18_1410161000_ims.csv	p4	0.71874	3.51	14.4115	1232	7
BD18_1410161000_ims.csv	p5	0.82318	2.465	12.0984	1410	5
BD18_1410161000_ims.csv	p6	0.6894	3.947	17.7999	1182	8
BD18_1410161000_ims.csv	p7	0.79326	3.51	30.0009	1359	7
BD18_1410161000_ims.csv	p8	0.63542	2.996	27.312	1090	6
BD18_1410161000_ims.csv	p9	0.4987	7.457	22.1879	857	15
BD18_1410161000_ims.csv	p10	0.5474	7.988	45.2231	940	16
BD18_1410161000_ims.csv	p11	0.45586	5.975	14.5703	784	12
BD18_1410161000_ims.csv	p12	0.82318	18.876	15.8411	1410	38
BD18_1410161000_ims.csv	p13	0.82905	18.876	15.8917	1420	38
BD18_1410161000_ims.csv	p14	0.86426	18.876	11.3183	1480	38
BD18_1410161000_ims.csv	p15	0.80323	18.876	55.4767	1376	38
BD18_1410161000_ims.csv	p16	0.849	18.876	29.1871	1454	38
BD18_1410161000_ims.csv	p17	0.64715	18.876	29.5575	1110	38
BD18_1410161000_ims.csv	p18	0.57557	22.932	12.4295	988	46
BD18_1410161000_ims.csv	p19	0.7868	28.829	10.6816	1348	58
BD18_1410161000_ims.csv	p20	0.85252	28.829	39.4988	1460	58
BD18_1410161000_ims.csv	p22	0.81203	28.829	74.8714	1391	58
BD18_1410161000_ims.csv	p23	0.83668	28.829	52.7441	1433	58
BD18_1410161000_ims.csv	p24	0.84079	28.829	52.7682	1440	58
BD18_1410161000_ims.csv	p25	0.64656	28.829	164.825	1109	58
BD18_1410161000_ims.csv	p27	0.59669	46.254	29.0069	1024	93
BD18_1410161000_ims.csv	p29	0.59669	28.392	132.12	1024	57
BD18_1410161000_ims.csv	p30	0.59728	55.755	153.186	1025	112
BD18_1410161000_ims.csv	p31	0.59669	18.876	291.33	1024	38
BD18_1410161000_ims.csv	p32	0.59669	36.848	274.52	1024	74
BD18_1410161000_ims.csv	p33	0.6894	59.187	14.5246	1182	119
BD18_1410161000_ims.csv	p36	0.87482	93.039	11.7513	1498	187
BD18_1410161000_ims.csv	p37	0.95462	95.519	56.7806	1634	192
BD18_1410161000_ims.csv	p38	0.88069	93.039	13.8408	1508	187
BD18_1410161000_ims.csv	p40	1.06904	95.519	22.9767	1829	192
BD18_1410161000_ims.csv	p41	1.08136	95.519	20.6092	1850	192
BD18_1410161000_ims.csv	p42	1.0931	95.083	17.5166	1870	191
BD18_1410161000_ims.csv	p43	1.05261	95.519	27.857	1801	192
BD18_1410161000_ims.csv	p44	1.09721	95.519	17.5469	1877	192
BD18_1410161000_ims.csv	p46	1.0174	96.487	41.6656	1741	194
BD18_1410161000_ims.csv	p47	1.10131	96.05	16.9001	1884	193
BD18_1410161000_ims.csv	p48	1.1154	96.05	20.177	1908	193
BD18_1410161000_ims.csv	p49	0.94934	95.519	58.1045	1625	192
BD18_1410161000_ims.csv	p50	0.9599	97.001	57.535	1643	195
BD18_1410161000_ims.csv	p53	1.06376	96.05	24.0643	1820	193
BD18_1410161000_ims.csv	p55	1.1107	97.001	19.6027	1900	195
BD18_1410161000_ims.csv	p56	1.04498	96.487	30.2682	1788	194
BD18_1410161000_ims.csv	p58	1.07432	95.519	22.163	1838	192
BD18_1410161000_ims.csv	p59	1.13769	96.05	30.2845	1946	193
BD18_1410161000_ims.csv	p60	0.97868	96.487	72.014	1675	194
BD18_1410161000_ims.csv	p63	0.86954	93.039	11.8853	1489	187
BD18_1410161000_ims.csv	p66	0.90474	93.569	31.646	1549	188
BD18_1410161000_ims.csv	p69	0.92528	98.951	91.5643	1584	199
BD18_1410161000_ims.csv	p70	0.60608	102.524	20.0382	1040	206
BD18_1410161000_ims.csv	p71	0.88773	115.394	35.3123	1520	232
