measurement_name	peak_name	t	r	signal	index_t	index_r
test_output.csv	p1	0.47945	3	57.9831	694	0
test_output.csv	p2	0.50351	3	23.1792	735	0
test_output.csv	p3	0.54695	1	97.0066	809	15
test_output.csv	p6	0.49882	1	38.3626	727	15
test_output.csv	p9	0.57101	2	10.9818	850	39
test_output.csv	p12	0.92551	2	86.4937	1454	204
test_output.csv	p13	0.87562	0	26.6672	1369	56
test_output.csv	p14	0.95955	2	59.5264	1512	189
test_output.csv	p16	0.58979	3	21.8014	882	8
test_output.csv	p17	0.90496	2	32.3902	1419	185
test_output.csv	p18	0.68957	3	21.9317	1052	8
test_output.csv	p20	0.7506	0	10.6402	1156	5
test_output.csv	p21	1.0558	2	31.1928	1676	189
test_output.csv	p22	0.79404	2	30.1879	1230	7
test_output.csv	p23	1.07399	3	25.2572	1707	194
test_output.csv	p24	0.89557	0	13.2844	1403	56
test_output.csv	p26	0.94781	2	57.544	1492	190
test_output.csv	p27	0.6344	0	24.0192	958	5
test_output.csv	p32	0.7195	1	17.9892	1103	6
test_output.csv	p35	0.82045	2	23.6285	1275	61
test_output.csv	p40	0.93783	2	57.282	1475	193
test_output.csv	p41	0.8809	0	27.3061	1378	56
test_output.csv	p42	1.13856	2	34.8245	1817	190
test_output.csv	p44	1.11684	2	22.9925	1780	190
test_output.csv	p46	0.81693	0	24.4411	1269	55
test_output.csv	p47	1.01296	2	49.4423	1603	193
test_output.csv	p49	0.78993	0	19.5578	1223	63
test_output.csv	p50	0.8451	1	686.358	1317	58
test_output.csv	p52	0.93314	2	58.9066	1467	193
test_output.csv	p56	0.96307	1	59.8056	1518	197
test_output.csv	p57	1.04171	2	36.5772	1652	190
test_output.csv	p58	1.06519	-1	27.5259	1692	196
test_output.csv	p63	1.09219	2	20.9854	1738	190
test_output.csv	p64	0.95309	2	59.0561	1501	189
test_output.csv	p66	0.91494	2	35.109	1436	61
test_output.csv	p67	0.75941	0	14.9085	1171	63
test_output.csv	p68	0.94311	1	57.9408	1484	198
test_output.csv	p70	1.08632	2	22.549	1728	190
test_output.csv	p72	0.64672	0	188.952	979	63
test_output.csv	p74	1.04993	3	32.986	1666	194
test_output.csv	p76	1.07869	1	23.7945	1715	197
test_output.csv	p82	1.10041	1	19.6939	1752	198
test_output.csv	p83	0.97891	2	76.9582	1545	189
test_output.csv	p87	1.11449	0	23.1521	1776	192
test_output.csv	p91	0.88794	2	37.5773	1390	232
